Datetime,Code,Activity_Type,Heart rate___beats/minute,Calories burned_kcal,Exercise duration_s,Sleep duration_minutes,Sleep type duration_minutes,Floors climbed___floors
2022-12-08 01:52:00,LA11836-6,Running,166,160.0,23898.0,,,
2022-12-08 01:52:00,LA11836-6,Running,129,21.0,122450.0,,,
2022-12-08 03:45:00,,No Physical Activity,76,,,,,
2022-12-08 03:47:00,LA11836-6,Running,169,35.0,120497.0,,,
2022-12-08 03:53:00,93830-8,Light Sleep,84,,,36.0,16.0,
2022-12-08 05:32:00,,Floors Climbed,68,,,,,0.0
2022-12-08 05:35:00,,No Physical Activity,70,,,,,
2022-12-08 05:46:00,LA11836-6,Running,133,20.0,40473.0,,,
2022-12-08 06:30:00,93830-8,Light Sleep,85,,,10.0,12.0,
2022-12-08 07:21:00,,No Physical Activity,77,,,,,
2022-12-08 07:21:00,LA11836-6,Running,162,10.0,11511.0,,,
2022-12-08 07:24:00,93829-0,REM Sleep,68,,,3.0,0.0,
2022-12-08 12:18:00,93830-8,Light Sleep,77,,,30.0,10.0,
2022-12-08 17:05:00,,No Physical Activity,69,,,,,
2022-12-08 21:08:00,,Floors Climbed,67,,,,,1.0
2022-12-09 01:43:00,LA11836-6,Running,141,10.0,11175.0,,,
2022-12-09 02:45:00,,No Physical Activity,59,,,,,
2022-12-09 03:30:00,,No Physical Activity,70,,,,,
2022-12-09 03:51:00,93830-8,Light Sleep,85,,,16.0,9.0,
2022-12-09 06:33:00,93830-8,Light Sleep,70,,,20.0,11.0,
2022-12-09 06:39:00,,No Physical Activity,68,,,,,
2022-12-09 07:28:00,LA11836-6,Running,172,32.0,41975.0,,,
2022-12-09 09:36:00,,No Physical Activity,68,,,,,
2022-12-09 10:31:00,93830-8,Light Sleep,79,,,22.0,16.0,
2022-12-09 12:13:00,93830-8,Light Sleep,60,,,23.0,8.0,
2022-12-09 14:14:00,93830-8,Light Sleep,74,,,21.0,18.0,
2022-12-09 18:12:00,93830-8,Light Sleep,82,,,25.0,13.0,
2022-12-09 19:07:00,,No Physical Activity,74,,,,,
2022-12-09 19:10:00,LA11836-6,Running,122,146.0,15958.0,,,
2022-12-09 20:04:00,93830-8,Light Sleep,84,,,18.0,10.0,
2022-12-09 20:06:00,93830-8,Light Sleep,86,,,5.0,7.0,
2022-12-09 22:07:00,LA11836-6,Running,139,22.0,46672.0,,,
2022-12-10 00:44:00,93830-8,Light Sleep,80,,,12.0,6.0,
2022-12-10 00:51:00,93830-8,Light Sleep,84,,,8.0,9.0,
2022-12-10 00:51:00,93829-0,REM Sleep,60,,,1.0,0.0,
2022-12-10 00:52:00,93829-0,REM Sleep,66,,,4.0,2.0,
2022-12-10 01:47:00,,No Physical Activity,72,,,,,
2022-12-10 02:49:00,93829-0,REM Sleep,50,,,1.0,1.0,
2022-12-10 03:54:00,,No Physical Activity,55,,,,,
2022-12-10 04:38:00,93830-8,Light Sleep,50,,,9.0,1.0,
2022-12-10 04:45:00,LA11836-6,Running,139,122.0,41509.0,,,
2022-12-10 05:32:00,93830-8,Light Sleep,84,,,25.0,9.0,
2022-12-10 05:32:00,93830-8,Light Sleep,83,,,23.0,11.0,
2022-12-10 06:31:00,370,Walking,107,119.0,42975.0,,,
2022-12-10 08:29:00,LA11836-6,Running,108,141.0,35813.0,,,
2022-12-10 12:20:00,LA11836-6,Running,153,10.0,13420.0,,,
2022-12-10 14:24:00,LA11836-6,Running,170,9.0,13296.0,,,
2022-12-10 18:05:00,93830-8,Light Sleep,83,,,18.0,11.0,
2022-12-10 18:15:00,93830-8,Light Sleep,63,,,0.0,-1.0,
2022-12-10 22:05:00,,Floors Climbed,54,,,,,0.0
2022-12-10 22:09:00,93830-8,Light Sleep,83,,,22.0,11.0,
2022-12-11 01:49:00,LA11836-6,Running,97,116.0,91647.0,,,
2022-12-11 03:51:00,,Floors Climbed,66,,,,,1.0
2022-12-11 05:30:00,93829-0,REM Sleep,50,,,2.0,1.0,
2022-12-11 05:32:00,,No Physical Activity,68,,,,,
2022-12-11 09:31:00,93830-8,Light Sleep,77,,,22.0,10.0,
2022-12-11 11:22:00,93830-8,Light Sleep,66,,,7.0,3.0,
2022-12-11 14:13:00,93830-8,Light Sleep,57,,,25.0,8.0,
2022-12-11 15:09:00,370,Walking,109,125.0,47637.0,,,
2022-12-11 16:08:00,93829-0,REM Sleep,57,,,8.0,2.0,
2022-12-11 18:15:00,LA11836-6,Running,119,32.0,11506.0,,,
2022-12-11 22:03:00,,No Physical Activity,65,,,,,
2022-12-12 00:50:00,,No Physical Activity,72,,,,,
2022-12-12 00:52:00,LA11836-6,Running,139,10.0,120834.0,,,
2022-12-12 00:54:00,,No Physical Activity,77,,,,,
2022-12-12 01:42:00,LA11836-6,Running,157,122.0,18204.0,,,
2022-12-12 02:39:00,,No Physical Activity,68,,,,,
2022-12-12 02:43:00,93830-8,Light Sleep,79,,,14.0,4.0,
2022-12-12 03:33:00,LA11836-6,Running,95,31.0,91297.0,,,
2022-12-12 03:48:00,93830-8,Light Sleep,58,,,24.0,10.0,
2022-12-12 05:32:00,93830-8,Light Sleep,83,,,21.0,13.0,
2022-12-12 05:33:00,,Floors Climbed,69,,,,,0.0
2022-12-12 06:34:00,,No Physical Activity,75,,,,,
2022-12-12 09:30:00,,Floors Climbed,68,,,,,1.0
2022-12-12 12:12:00,93830-8,Light Sleep,49,,,1.0,1.0,
2022-12-12 12:18:00,93830-8,Light Sleep,72,,,0.0,3.0,
2022-12-12 12:33:00,,No Physical Activity,70,,,,,
2022-12-12 13:19:00,93830-8,Light Sleep,76,,,32.0,20.0,
2022-12-12 15:09:00,,No Physical Activity,76,,,,,
2022-12-12 15:14:00,,Floors Climbed,67,,,,,1.0
2022-12-12 16:27:00,93830-8,Light Sleep,79,,,5.0,4.0,
2022-12-12 19:13:00,,No Physical Activity,60,,,,,
